HUZ649701.90286	gi|1001942081|gb|131489-132374(+)
HUZ651102.39966	mge|2640.1|17474-20309(+)
HUZ265136.22106	mge|2693.1|508301-509132(+)
HUZ239360.43060	mge|2693.1|5981099-5983595(+)
HUZ618785.12734	mge|2693.1|6209147-6210089(-)
642759931	mge|2693.1|7672358-7673474(-)
SRS014466.164-T1-C	mge|2693.1|8238611-8241194(-)
2600974815	mge|2708.1|19698-20097(-)
HMPREF0358_1192	mge|2280.1|14915-16052(+)
HUZ237584.2800	mge|2090.1|71567-73100(+)
2520353139	mge|2693.1|8453073-8453601(-)
HMPREF0693_2359	mge|2693.1|8453073-8453601(-)
HMPREF9689_05347	mge|2693.1|8453073-8453601(-)
HUZ252644.33294	gi|238804899|emb|8326-8743(+)
HUZ649701.42851	gi|451937105|gb|21783-23145(-)
HMPREF0358_4746	gi|946713800|dbj|43181-44720(-)
HUZ239420.32880	mge|2090.1|55208-56324(+)
HUZ612660.31220	mge|2497.1|23688-24753(-)
414_050806.53865	mge|2693.1|7897821-7899465(-)
CHARM066_V2.57380	mge|2693.1|8238611-8241194(-)
HMPREF0693_1144	gi|815008671|gb|28595-30275(-)
648315772	gi|919049565|gb|21645-21927(-)
2543472132	mge|2087.1|6956-8093(-)
647233061	mge|2087.1|6956-8093(-)
SRS055298.880-T1-C	mge|2672.1|62250-63969(-)
HUZ237575.51276	mge|2693.1|6541786-6543883(+)
HUZ650302.52293	mge|2693.1|6543911-6545102(+)
2515627912	mge|2398.1|12000-13884(+)
HMPREF9689_02895	mge|2746.1|29492-30788(+)
647446248	gi|353351569|dbj|131728-133879(-)
2539292300	mge|2192.1|14302-15412(-)
CHARM066_V2.47719	gi|390607167|gb|80527-84244(+)
2517207291	mge|2693.1|7902748-7903525(-)
HUZ648786.17158	gi|296245407|gb|34093-34258(-)
CHARM180_V2.31828	gi|343178336|emb|87710-88634(+)
HUZ239360.58897	gi|451939597|gb|45234-46302(-)
2512479367	gi|66733223|gb|22884-23094(-)
HUZ648375.3692	gi|670143009|gb|108638-109622(+)
CHARM110_V2.35629	gi|738492523|gb|29195-29687(-)
SRS055298.3186-T1-C	gi|761545084|gb|37491-39663(-)
HUZ651102.42076	gi|823079903|gb|107-2234(+)
HUZ270021.53762	gi|952093938|gb|569-2264(+)
HUZ241543.4009	mge|2087.1|35789-36452(-)
HUZ621105.25421	mge|2511.1|22202-23117(+)
CHARM018_V2.64377	mge|2654.1|23992-25555(-)
AYAC03W2D1.41186	mge|2693.1|5840751-5843784(-)
HUZ651102.48338	mge|2693.1|6609010-6610177(-)
2517207561	mge|2693.1|673845-674175(-)
HUZ646173.25538	mge|2693.1|8238611-8241194(-)
HUZ614305.7894	mge|2693.1|6302490-6303531(-)
CHARM154_V2.18532	mge|2087.1|35789-36452(-)
AYAC06W6D6.2823	mge|2693.1|68409-68931(-)
CHARM110_V2.23354	mge|2640.1|17474-20309(+)
651114701	mge|2755.1|1878-2706(-)
HUZ612660.4425	mge|2276.1|22060-22750(+)
2506734024	mge|2639.1|5776-7162(-)
414_050806.17675	mge|2639.1|5776-7162(-)
HUZ647004.31645	mge|2639.1|5776-7162(-)
HUZ651102.45537	mge|2640.1|7840-8674(+)
HUZ243262.1679	mge|2674.1|428-2153(+)
HUZ432163.32970	mge|2693.1|7240017-7241286(+)
2515675414	mge|2693.1|6541786-6543883(+)
650262099	gi|50261575|gb|6839-8255(-)
644255553	mge|2428.1|9693-10239(-)
2534280613	mge|2693.1|598329-599580(+)
650311218	mge|2485.1|24004-25567(-)
648801173	mge|2654.1|23992-25555(-)
HMPREF1372_00201	gi|114199239|gb|15731-16775(+)
2517207812	mge|2693.1|658875-660165(+)
HUZ644405.74441	gi|315518911|dbj|37861-39643(+)
2512476184	gi|451939597|gb|48403-49819(+)
EMO9W8D3.23106	gi|823079903|gb|2354-3545(+)
651116056	gi|89212523|gb|13762-14125(+)
HUZ270021.63026	gi|95832054|gb|58390-60988(-)
644291617	mge|2455.1|44487-44691(+)
CHARM180_V1.50517	mge|2455.1|57772-59023(-)
HUZ432163.46755	mge|2489.1|22783-24520(-)
HUZ620284.51755	mge|2693.1|6541786-6543883(+)
HUZ649701.87343	mge|2693.1|7687252-7689115(-)
HUZ239360.16681	mge|2708.1|19698-20097(-)
HUZ270022.42798	mge|2485.1|17483-20324(+)
HUZ649701.74506	gi|823079903|gb|2354-3545(+)
HUZ436911.51279	mge|2090.1|70093-71551(+)
HUZ265136.48558	gi|823079903|gb|2354-3545(+)
HUZ644405.44704	mge|2033.1|4992-5721(+)
647501824	mge|2364.1|11943-13206(+)
HMPREF0204_10643	mge|2293.1|19266-20172(-)
HMPREF0693_2064	mge|2746.1|57790-58885(+)
2515430077	mge|2455.1|59062-60562(-)
HMPREF0305_10454	gi|354997037|gb|10771-14539(+)
CHARM154_V1.8420	gi|373429464|gb|27075-41820(+)
HUZ614244.16073	gi|451937907|gb|15896-16166(+)
HUZ649701.80517	gi|451939597|gb|2235-3321(-)
2539291015	gi|738492433|gb|208-937(-)
CHARM010_V1.17778	gi|873379035|gb|88504-90730(-)
CHARM010_V1.27490	mge|2427.1|12192-12651(-)
HUZ270021.51215	mge|2428.1|2342-2621(-)
HUZ621105.15200	mge|2428.1|2755-5014(-)
HMP40_W6D2.15066	mge|2600.1|6425-6884(-)
CHARM180_V1.23237	mge|2634.1|25688-26093(-)
HUZ239360.52577	mge|2636.1|46196-46850(+)
CHARM018_V2.6408	mge|2755.1|33808-34267(-)
HUZ619089.11708	mge|2762.1|887-2660(+)
HUZ648786.38878	mge|2369.1|22690-23248(+)
HMPREF0010_02900	mge|2654.1|23992-25555(-)
CHARM018_V2.63130	mge|2090.1|71567-73100(+)
414_050806.6598	mge|2090.1|71567-73100(+)
HUZ621105.4941	mge|2633.1|30510-31266(+)
2539292160	mge|2746.1|44559-44838(-)
642721971	mge|2693.1|8442200-8443541(-)
CHARM066_V2.8201	mge|2753.1|15364-16942(-)
2515628196	mge|2693.1|588780-589896(-)
VM033.2171	mge|2456.1|1287-2940(-)
2541320037	mge|2746.1|36965-39191(+)
CHARM010_V1.5997	gi|1001940386|gb|36035-36905(-)
CHARM018_V2.35345	gi|1001940386|gb|36035-36905(-)
HUZ644405.28202	gi|396576808|emb|25917-26787(-)
CHARM180_V1.41790	gi|823079903|gb|107-2234(+)
HUZ437972.37651	gi|928541549|gb|58772-59726(+)
HUZ436544.32548	mge|2087.1|6956-8093(-)
HMP40_W5D1.9000	mge|2090.1|71567-73100(+)
HUZ648786.37590	mge|2327.1|516-1623(+)
644320618	mge|2364.1|11257-11836(+)
HUZ436544.37248	mge|2640.1|17474-20309(+)
HUZ619089.27579	mge|2754.1|29643-30531(+)
2600966620	mge|2693.1|6609010-6610177(-)
HUZ237575.37291	gi|823079903|gb|107-2234(+)
2520352409	mge|2693.1|598329-599580(+)
HUZ435180.5645	gi|398256204|gb|98894-99908(+)
HUZ646173.22370	gi|586908032|gb|32133-33468(+)
HMPREF0358_3239	gi|928543518|gb|39406-40225(-)
HUZ647004.17644	mge|2667.1|8121-9750(-)
HUZ437972.47491	mge|2693.1|5981099-5983595(+)
650087953	mge|2693.1|6989458-6989782(-)
HUZ618785.10558	mge|2693.1|8238611-8241194(-)
401_022506.10966	mge|2755.1|47431-48562(+)
651213774	mge|2667.1|8121-9750(-)
CHARM018_V1.20334	mge|2485.1|24004-25567(-)
HUZ649701.85834	mge|2087.1|12187-14458(-)
2515221961	mge|2693.1|7018130-7019645(-)
644321650	mge|2755.1|47431-48562(+)
HMPREF9689_05592	mge|2427.1|37129-38152(-)
CHARM170_V2.35854	mge|2497.1|23688-24753(-)
CHARM126_V2.5951	mge|2667.1|8121-9750(-)
HUZ621105.23624	mge|2693.1|598329-599580(+)
HUZ239420.15111	mge|2693.1|6541786-6543883(+)
HUZ252644.19240	mge|2667.1|8121-9750(-)
HMPREF0358_4690	mge|2446.1|31833-32256(-)
2515628000	mge|2693.1|7088534-7089380(+)
2522076166	mge|2630.1|6310-7666(+)
CHARM018_V1.44086	mge|2657.1|17980-19672(+)
2530839150	gi|505833817|gb|59250-60204(+)
647492098	gi|670143009|gb|108638-109622(+)
2541317093	gi|928541549|gb|58772-59726(+)
CHARM066_V1.19475	mge|2262.1|43523-44480(-)
CHARM154_V1.1482	mge|2639.1|5776-7162(-)
CHARM144_V2.37745	gi|451937291|gb|2457-2964(-)
2621256530	mge|2693.1|6302490-6303531(-)
646150238	mge|2693.1|8221391-8222957(-)
SRS011355.665-T1-C	mge|2761.1|3249-4425(+)
HUZ650302.40236	gi|95832054|gb|58390-60988(-)
642721170	mge|2308.1|1508-2066(-)
HMPREF9694_01646	mge|2647.1|15075-16158(-)
HUZ239360.45307	mge|2693.1|6559315-6560335(+)
EM02W9D2.10130	gi|78675276|dbj|161632-162778(-)
647445462	gi|347449230|gb|188433-189744(+)
2535540374	mge|2693.1|7299371-7300025(+)
VM027.13633	gi|45504618|gb|15574-16984(+)
2533890588	mge|2693.1|6541786-6543883(+)
2597907669	gi|353351569|dbj|131728-133879(-)
2595357107	mge|2296.1|10341-11142(+)
HUZ237575.9750	mge|2090.1|71567-73100(+)
HMPREF0297_2180	gi|113715669|gb|37396-38191(+)
2536322968	gi|974132130|gb|50823-51630(+)
2520352562	mge|2693.1|7096747-7097782(+)
HMPREF0358_3981	mge|2693.1|7096747-7097782(+)
HUZ252652.8487	mge|2124.1|21212-22733(+)
HUZ237575.5789	mge|2693.1|7240017-7241286(+)
650258316	gi|50261575|gb|6839-8255(-)
HMPREF9689_02617	mge|2693.1|8003997-8005548(-)
651116187	mge|2489.1|14302-16831(-)
HUZ614244.30929	gi|1007010187|gb|40738-41704(-)
HUZ252652.12538	gi|238558566|gb|16230-16566(+)
HUZ239360.45848	gi|2444080|gb|21744-22251(+)
414_050806.37862	gi|291164862|gb|24922-25810(+)
HUZ650302.51418	gi|295002712|gb|5964-6510(+)
CHARM018_V2.62406	gi|301153599|gb|156648-157239(+)
HUZ237575.54507	gi|323481889|gb|1047-1851(-)
CHARM154_V1.8801	gi|347449230|gb|206544-207372(+)
HUZ436544.45400	gi|383403044|gb|13449-15039(-)
414_050806.13548	gi|451939597|gb|45234-46302(-)
HUZ435180.418	gi|545609211|gb|19952-21254(+)
CHARM144_V2.44379	gi|586908032|gb|33941-34751(+)
650245369	gi|694817980|gb|59233-59701(-)
2536321260	gi|694818060|gb|83-284(-)
HUZ647004.76421	gi|735997577|gb|59518-61651(-)
SRS055298.2019-T1-C	gi|75911841|gb|53082-53313(+)
HUZ237575.50215	gi|823079846|gb|273-2388(+)
HUZ646173.43328	gi|823079903|gb|2354-3545(+)
HMP40_W6D2.30413	gi|823079903|gb|2354-3545(+)
HUZ437268.7297	gi|89212523|gb|22884-23748(+)
HMPREF0308_1853	gi|921956262|gb|39463-40303(+)
2638612227	gi|921957892|gb|3012-3963(+)
VM090.816	gi|93117173|gb|39232-39400(-)
HUZ243262.20539	gi|953699450|gb|20729-21809(+)
2533892535	gi|953699450|gb|20729-21809(+)
HMPREF9694_00225	mge|2067.1|24064-25387(-)
2546876550	mge|2087.1|16358-16790(-)
HUZ432163.55391	mge|2087.1|24598-24841(-)
HUZ239359.17346	mge|2090.1|2907-3738(+)
HUZ240763.5408	mge|2090.1|71567-73100(+)
2602357308	mge|2123.1|4026-4839(+)
HUZ239360.58987	mge|2155.1|16492-18775(-)
642760655	mge|2293.1|1179-1914(-)
HUZ237587.3241	mge|2293.1|19266-20172(-)
644335784	mge|2293.1|19266-20172(-)
HUZ647004.66859	mge|2293.1|21130-22708(-)
HUZ436544.56243	mge|2368.1|2754-3876(-)
HUZ239707.1255	mge|2393.1|24317-25952(-)
HUZ239423.30905	mge|2398.1|12000-13884(+)
401_022506.7217	mge|2427.1|12192-12651(-)
CHARM066_V2.42340	mge|2428.1|985-2362(-)
2530838778	mge|2455.1|26382-27624(-)
HUZ434043.23473	mge|2455.1|44487-44691(+)
647210996	mge|2455.1|59062-60562(-)
2600978136	mge|2485.1|24004-25567(-)
647494260	mge|2485.1|24004-25567(-)
HUZ239423.29828	mge|2485.1|24004-25567(-)
642760543	mge|2559.1|3395-3602(+)
VM033.37689	mge|2571.1|916-1150(+)
CHARM018_V2.22104	mge|2571.1|916-1150(+)
HUZ647004.15018	mge|2571.1|916-1150(+)
HUZ647004.40108	mge|2571.1|916-1150(+)
EMO9W9D3.15434	mge|2621.1|38965-40972(+)
HUZ239423.28517	mge|2621.1|38965-40972(+)
CHARM066_V2.38146	mge|2621.1|38965-40972(+)
HUZ621105.11598	mge|2630.1|12855-13683(+)
HUZ265136.52774	mge|2639.1|5776-7162(-)
2536306620	mge|2657.1|7507-7780(+)
401_022506.4483	mge|2667.1|8121-9750(-)
SRS055298.5384-T1-C	mge|2693.1|527472-530103(-)
644333367	mge|2693.1|5849390-5850305(+)
HMPREF0010_02163	mge|2693.1|5866867-5867548(+)
HUZ252644.43544	mge|2693.1|598329-599580(+)
HUZ647004.62542	mge|2693.1|6559315-6560335(+)
SRS051505.124-T1-C	mge|2693.1|657260-658856(+)
HUZ651102.53965	mge|2693.1|7141030-7142923(+)
HUZ649701.94996	mge|2693.1|7526372-7528430(+)
648678024	mge|2693.1|7662776-7663898(+)
HUZ270022.69499	mge|2693.1|7897821-7899465(-)
HUZ270022.59529	mge|2693.1|7897821-7899465(-)
2511724942	mge|2693.1|8135025-8135739(+)
HUZ606424.4162	mge|2693.1|8447530-8448484(+)
HMPREF0308_1429	mge|2734.1|21408-22950(-)
HMP12_W3D4.8803	mge|2753.1|27129-27867(-)
HUZ649659.9636	mge|2753.1|32862-33624(-)
647363598	mge|2754.1|15534-16314(+)
AYAC05W6D2.6741	mge|2755.1|32969-33149(-)
2625498062	gi|761545084|gb|37491-39663(-)
AYAC03W2D1.13582	gi|873379035|gb|88504-90730(-)
HMPREF9694_05371	gi|312601701|gb|5867-8282(+)
HMPREF9512_00090	mge|2674.1|428-2153(+)
650182938	mge|2090.1|71567-73100(+)
HUZ252644.4664	mge|2090.1|71567-73100(+)
2511556337	mge|2090.1|71567-73100(+)
2514649944	mge|2693.1|842443-843859(-)
HUZ648375.6119	mge|2262.1|43523-44480(-)
2514445393	mge|2293.1|19266-20172(-)
HUZ644405.44280	mge|2440.1|20715-21681(-)
2597839479	mge|2142.1|1629-2634(-)
2507120096	mge|2693.1|748953-749712(-)
2600977424	mge|2485.1|24004-25567(-)
HUZ646173.31308	mge|2654.1|17474-20309(+)
2514649149	mge|2693.1|527472-530103(-)
HMPREF9694_01373	mge|2746.1|29492-30788(+)
HUZ239360.33485	mge|2693.1|778191-779163(-)
2541320840	mge|2155.1|16492-18775(-)
HUZ239360.44581	mge|2667.1|8121-9750(-)
HUZ252652.7560	mge|2087.1|6956-8093(-)
CHARM198_V2.5217	mge|2087.1|6956-8093(-)
2534280480	mge|2693.1|657260-658856(+)
CHARM066_V2.22122	gi|359472045|gb|12168-12615(+)
645288571	gi|910307710|gb|49567-50065(+)
CHARM170_V2.38927	mge|2693.1|6559315-6560335(+)
CHARM198_V1.7492	mge|2137.1|0-1068(-)
445_020507.3706	mge|2137.1|0-1068(-)
644291241	mge|2262.1|43523-44480(-)
CHARM018_V2.22947	mge|2497.1|23688-24753(-)
HUZ432496.30789	mge|2693.1|6560419-6563488(-)
HUZ612660.27172	mge|2693.1|778191-779163(-)
647494371	gi|359472045|gb|12168-12615(+)
HUZ243262.348	gi|52631296|gb|27329-27788(+)
423_071706.4913	gi|5730257|emb|19736-20186(+)
CHARM018_V1.6772	mge|2293.1|19266-20172(-)
CHARM198_V1.26893	mge|2693.1|527472-530103(-)
HUZ646173.24283	mge|2693.1|6302490-6303531(-)
423_071706.2433	gi|545609211|gb|19952-21254(+)
HUZ270021.55996	gi|390607167|gb|77937-78519(+)
HUZ252652.4104	gi|545609211|gb|14498-15284(+)
HUZ436544.49118	mge|2693.1|5981099-5983595(+)
HUZ437268.36933	mge|2693.1|6560419-6563488(-)
2515627261	mge|2497.1|17387-18167(-)
HUZ648375.7002	gi|384939229|gb|24761-25178(+)
CHARM018_V1.47073	gi|823079678|gb|2836-5299(-)
645290294	gi|891438995|gb|35005-35386(+)
SRS015054.82-T1-C	mge|2336.1|10649-11666(-)
HUZ237575.48122	mge|2393.1|20328-23592(-)
414_050806.55780	mge|2479.1|13003-13564(+)
HMPREF0305_10358	mge|2485.1|24004-25567(-)
HMPREF0308_1220	mge|2485.1|24004-25567(-)
HMPREF0297_1346	mge|2654.1|23992-25555(-)
401_022506.8836	mge|2693.1|598329-599580(+)
HUZ651102.44554	mge|2693.1|8238611-8241194(-)
SRS018769.2339-T1-C	gi|5730257|emb|23397-24117(+)
HUZ265136.36850	mge|2693.1|8238611-8241194(-)
CHARM180_V1.13590	gi|451937347|gb|26456-26807(+)
HUZ646173.18971	gi|451937347|gb|26456-26807(+)
651501751	gi|746947654|gb|29446-29788(-)
EM06W5D5.5188	gi|823079903|gb|107-2234(+)
CHARM066_V1.53565	gi|953699450|gb|20729-21809(+)
HUZ651102.45347	mge|2393.1|18386-19406(-)
CHARM154_V1.2556	mge|2410.1|13179-14286(-)
2600967805	mge|2137.1|0-1068(-)
CHARM144_V1.11178	mge|2693.1|6302490-6303531(-)
HUZ239360.32212	gi|154622687|gb|129708-130476(-)
HUZ619089.24768	gi|320006194|gb|6200-6584(+)
HUZ436911.29881	mge|2455.1|37153-39088(-)
HMP40_W6D2.30912	mge|2485.1|17483-20324(+)
CHARM066_V1.54693	mge|2693.1|539018-540218(-)
HUZ270021.69831	mge|2693.1|8479624-8480671(-)
HUZ644405.61778	mge|2694.1|7940-9524(+)
2515624053	mge|2736.1|2485-2809(-)
HUZ649701.57895	mge|2485.1|17483-20324(+)
CHARM170_V1.51974	gi|45504618|gb|19121-19460(+)
HUZ612660.13955	mge|2455.1|33010-33292(-)
HUZ646173.47874	mge|2667.1|8121-9750(-)
HUZ239360.66586	mge|2693.1|6044475-6045648(+)
650089051	mge|2693.1|692359-694339(-)
2530617923	mge|2695.1|37164-37716(+)
HUZ239360.17335	mge|2090.1|71567-73100(+)
643835263	mge|2693.1|7240017-7241286(+)
HUZ646173.19101	mge|2667.1|8121-9750(-)
647849657	gi|169260705|gb|16500-17730(+)
HUZ649701.14911	gi|465810542|gb|773-2141(+)
HUZ649360.16132	gi|505833817|gb|59250-60204(+)
HUZ647004.45076	mge|2667.1|8121-9750(-)
HUZ437972.33488	mge|2667.1|8121-9750(-)
HMPREF0358_1385	mge|2767.1|729-1287(+)
647313234	mge|2041.1|19958-21116(-)
2600981371	mge|2693.1|6541786-6543883(+)
CHARM010_V1.8003	mge|2693.1|6541786-6543883(+)
HUZ252652.4106	gi|545609211|gb|13208-13901(+)
HUZ239360.51319	gi|7248462|gb|24376-25933(+)
2520356197	mge|2280.1|14915-16052(+)
CHARM018_V2.41907	mge|2693.1|8238611-8241194(-)
HUZ239360.41633	mge|2155.1|16492-18775(-)
HMPREF9694_05028	mge|2693.1|8444200-8446504(-)
651501750	gi|451937105|gb|21783-23145(-)
651500826	gi|525334541|gb|15088-16036(-)
LBGG_02208	gi|62086029|gb|37770-38475(+)
646819129	gi|695255755|gb|31891-32149(+)
HUZ619089.24369	gi|725797491|gb|18216-19110(+)
HUZ237575.17230	gi|985789895|gb|1652-2906(+)
2535595711	mge|2140.1|0-456(-)
HUZ437268.51590	mge|2276.1|6025-6778(+)
HUZ647004.76878	mge|2455.1|26382-27624(-)
HUZ270021.45628	mge|2497.1|23688-24753(-)
648017305	mge|2559.1|3395-3602(+)
2515626502	mge|2559.1|3395-3602(+)
HUZ433604.4610	mge|2672.1|55333-57490(-)
HUZ649701.35107	mge|2693.1|6541786-6543883(+)
CHARM018_V1.4535	gi|823079903|gb|2354-3545(+)
HUZ635668.13546	gi|410809287|gb|125391-126501(-)
644341957	mge|2137.1|0-1068(-)
648817348	mge|2630.1|6310-7666(+)
HUZ239360.14017	gi|299810243|gb|123243-124383(+)
HUZ643630.48079	mge|2293.1|19266-20172(-)
HUZ235500.6167	gi|873379035|gb|88504-90730(-)
HUZ432496.16910	gi|873379035|gb|88504-90730(-)
2539292863	mge|2746.1|29492-30788(+)
401_022506.4907	mge|2693.1|680265-681918(-)
HUZ239420.23455	gi|310657179|gb|35141-36410(-)
VM021.9817	gi|320006194|gb|8218-12511(+)
HUZ650302.18209	gi|815006846|gb|92776-93934(-)
HUZ270022.59066	mge|2087.1|19595-20849(-)
CHARM018_V1.30792	mge|2276.1|15628-17794(+)
HUZ643630.28115	mge|2654.1|17474-20309(+)
HUZ252644.25082	mge|2693.1|46222-46717(-)
HUZ270021.63385	mge|2693.1|5981099-5983595(+)
HMPREF0693_3786	mge|2757.1|13114-13600(+)
HMPREF0663_11932	gi|723039928|gb|157439-158450(+)
HUZ620284.22895	mge|2155.1|16492-18775(-)
650244274	gi|320006194|gb|25758-26847(-)
SRS017497.2581-T1-C	mge|2087.1|19595-20849(-)
HUZ436420.22839	mge|2087.1|35789-36452(-)
HUZ616187.6043	mge|2693.1|598329-599580(+)
642722761	mge|2693.1|5296904-5298347(+)
401_022506.10809	gi|294478921|gb|45436-46231(+)
HUZ235500.41973	mge|2260.1|6931-8854(-)
CHARM180_V1.28761	mge|2639.1|9718-10612(-)
HUZ649701.41451	mge|2693.1|527472-530103(-)
HMPREF0663_11678	mge|2693.1|5997854-5998175(-)
CHARM010_V1.42659	mge|2693.1|6851776-6853576(-)
2520356293	mge|2693.1|7299371-7300025(+)
HMPREF0693_1823	mge|2693.1|7299371-7300025(+)
HUZ646173.48822	mge|2693.1|778191-779163(-)
2539292865	mge|2746.1|31883-32957(+)
647501295	mge|2693.1|767684-768461(+)
401_022506.3604	gi|761545084|gb|37491-39663(-)
HUZ432163.34205	gi|78675276|dbj|38315-39437(+)
HUZ648786.44397	mge|2087.1|32717-35066(-)
2512390867	mge|2693.1|539018-540218(-)
648016954	mge|2693.1|7239361-7240000(+)
2597908871	mge|2693.1|778191-779163(-)
2559042571	mge|2456.1|1287-2940(-)
648825541	mge|2693.1|5625682-5626567(-)
HUZ235500.14896	gi|723039928|gb|157439-158450(+)
2514650721	mge|2693.1|657260-658856(+)
CHARM066_V2.44127	gi|1003304299|gb|52666-52990(-)
HUZ270022.54974	gi|306009163|gb|55982-56501(+)
CHARM018_V2.37445	gi|306009163|gb|55982-56501(+)
HUZ239360.63100	gi|428670858|emb|26354-26876(+)
HMPREF9307_02536	gi|50261575|gb|6839-8255(-)
HMP40_W6D2.37684	gi|6117998|gb|33745-35044(-)
HUZ239420.36603	mge|2087.1|19595-20849(-)
648679444	mge|2364.1|11257-11836(+)
2625473150	mge|2455.1|63684-64392(-)
EM02W9D2.33305	mge|2485.1|17483-20324(+)
CHARM170_V1.46177	mge|2693.1|4295223-4296231(+)
HUZ252652.13349	mge|2693.1|5981099-5983595(+)
SRS055298.5851-T1-C	mge|2693.1|720778-723265(-)
HUZ618785.11851	mge|2736.1|2972-5570(-)
2506734284	mge|2455.1|59062-60562(-)
2514445580	mge|2497.1|23688-24753(-)
HUZ433604.5050	gi|723007181|gb|17617-18568(+)
AYAC05W6D2.1507	gi|428670858|emb|30398-31043(+)
HUZ243262.20881	mge|2262.1|7811-10721(-)
401_022506.6962	mge|2654.1|17474-20309(+)
2535595921	mge|2090.1|70093-71551(+)
645253182	mge|2293.1|19266-20172(-)
CHARM018_V2.41148	mge|2485.1|17483-20324(+)
2515222006	mge|2693.1|5625682-5626567(-)
2507117453	mge|2693.1|5625682-5626567(-)
HUZ239360.55092	gi|797193073|gb|60385-62719(-)
HUZ435180.4988	mge|2455.1|0-1572(-)
HMPREF0298_0003	mge|2689.1|0-897(-)
2535540046	mge|2693.1|497320-497686(-)
HMPREF9689_02384	mge|2067.1|24064-25387(-)
2539553071	gi|314912616|gb|130-652(+)
HUZ648225.1995	gi|694817980|gb|59233-59701(-)
HUZ651102.38655	mge|2693.1|778191-779163(-)
HMPREF9554_00156	mge|2364.1|11257-11836(+)
646291166	mge|2364.1|11257-11836(+)
CHARM010_V1.12801	mge|2364.1|11257-11836(+)
VM319.63819	mge|2423.1|14415-15822(-)
EMO9W8D7.16456	mge|2693.1|527472-530103(-)
651623879	mge|2455.1|26382-27624(-)
HUZ649701.8432	mge|2090.1|70093-71551(+)
HUZ649360.740	gi|1012163014|gb|28844-29816(-)
2507120479	gi|347449230|gb|188433-189744(+)
CHARM154_V1.6841	gi|374427550|gb|15310-15799(-)
CHARM010_V1.11903	gi|396576808|emb|25917-26787(-)
HUZ649360.4958	gi|514341027|gb|21061-21481(+)
SRS044742.107-T1-C	gi|725797491|gb|2017-3424(+)
CHARM066_V2.46366	gi|823079903|gb|107-2234(+)
HUZ270022.34951	gi|823079903|gb|2354-3545(+)
HUZ621105.5205	gi|921957409|gb|22566-23001(-)
HUZ239360.63073	gi|974131431|gb|18759-21024(+)
HMP40_W6D2.47710	mge|2072.1|29316-29844(-)
HUZ621105.5682	mge|2083.1|29897-30257(-)
CHARM180_V1.44162	mge|2090.1|70093-71551(+)
HUZ650302.52861	mge|2124.1|17893-18772(+)
2515631547	mge|2199.1|13632-13911(-)
CHARM110_V2.32725	mge|2276.1|6025-6778(+)
HUZ621105.25863	mge|2383.1|32363-33422(+)
HUZ270021.42436	mge|2398.1|12000-13884(+)
HUZ614226.19942	mge|2441.1|0-2355(+)
HUZ621105.16990	mge|2485.1|17483-20324(+)
HUZ647004.24402	mge|2485.1|24004-25567(-)
HMP40_W6D2.24562	mge|2486.1|21099-21510(+)
HUZ649701.61052	mge|2632.1|19758-20502(-)
642722959	mge|2693.1|4286678-4287113(-)
HUZ237575.40447	mge|2693.1|6541786-6543883(+)
CHARM010_V1.39902	mge|2693.1|6868409-6870239(-)
HMPREF9689_05015	mge|2693.1|7090880-7091207(-)
2539292156	mge|2693.1|7090880-7091207(-)
2515631799	mge|2693.1|7567910-7568261(+)
HMPREF1360_01147	mge|2755.1|33808-34267(-)
HUZ621105.2805	mge|2655.1|18781-20344(-)
414_050806.35923	gi|291164862|gb|52376-56261(+)
CHARM018_V1.35753	mge|2293.1|19266-20172(-)
HUZ270022.50758	gi|451937037|gb|4185-4935(-)
2514523286	mge|2693.1|5640767-5641409(-)
HUZ421083.11518	mge|2087.1|6956-8093(-)
HUZ252644.42230	mge|2657.1|14361-16890(-)
HUZ648786.12699	gi|50261575|gb|6839-8255(-)
HUZ620284.35650	mge|2693.1|6541786-6543883(+)
2601475678	mge|2438.1|5771-7157(-)
642647018	mge|2438.1|32040-33021(+)
HUZ239360.38719	mge|2090.1|70093-71551(+)
HUZ265136.52263	mge|2293.1|19266-20172(-)
HMP40_W6D2.31525	mge|2654.1|23992-25555(-)
EMO9W8D7.32801	mge|2693.1|6889994-6893489(+)
HUZ647004.34357	gi|873379035|gb|88504-90730(-)
HUZ265136.44259	mge|2693.1|6609010-6610177(-)
CHARM144_V2.40000	gi|451937233|gb|16993-18073(-)
HUZ437972.30105	mge|2262.1|43523-44480(-)
SRS023850.2517-T1-C	gi|428670858|emb|32726-33083(+)
HUZ237575.46261	gi|50261575|gb|31185-31662(+)
HUZ235509.6299	gi|62086028|gb|30479-31106(-)
HUZ644405.37838	gi|694818060|gb|8449-10054(+)
HUZ650302.51277	gi|820833552|gb|38146-38896(-)
HUZ243262.18346	gi|921957854|gb|28634-28955(-)
HUZ649701.53519	mge|2087.1|25581-26817(-)
HUZ235500.17602	mge|2455.1|31668-33030(-)
HUZ648786.34291	mge|2455.1|31668-33030(-)
HUZ613376.2623	mge|2657.1|24927-26244(-)
HUZ270021.53721	mge|2672.1|39213-41682(+)
414_050806.44560	mge|2693.1|6560419-6563488(-)
HMPREF0693_2991	mge|2693.1|7539148-7539907(+)
HMP40_W6D2.24488	mge|2693.1|778191-779163(-)
